 seed  iterations  status     objective           primal        wall (s)   solver(s)  
  1        31       true    7.18579173e+00    4.95664707e-15     24.2        21.9  
  2        34       true    6.38813612e+00    3.08634411e-15     26.8        24.2  
  3        30       true    5.66552406e+00    4.21884749e-15     24.0        21.8  
  4        26       true    5.74142744e+00    3.71924713e-15     21.6        19.5  
  5        26       true    5.70211066e+00    4.46864767e-15     20.5        18.6  
  6       141       true    7.53968365e+00    3.78863607e-15    179.2       164.9  
  7        29       true    6.26414931e+00    4.17244364e-15     26.4        23.9  
  8        20       true    8.44935975e+00    9.65894031e-15     16.0        14.5  
  9        21       true    8.44315963e+00    5.32581791e-15     16.9        15.2  
 10       170       true    7.55251258e+00    3.94129174e-15    247.2       228.0  
 11        35       true    6.32030555e+00    4.75314232e-15     33.3        30.1  
 12        25       true    5.74278217e+00    3.14841808e-15     25.9        23.4  
 13        24       true    5.80497355e+00    4.73926454e-15     20.8        18.8  
 14        37       true    7.20077531e+00    4.99600361e-15     30.0        27.1  
 15        27       true    6.40740932e+00    3.74700271e-15     21.8        19.7  
 16        29       true    6.32178052e+00    4.83695115e-15     23.5        21.3  
 17        29       true    6.37220085e+00    4.27435864e-15     22.7        20.5  
 18        29       true    5.71844335e+00    3.05571540e-15     21.7        19.6  
 19        33       true    6.26348258e+00    5.69551730e-15     24.1        21.8  
 20        32       true    6.12907365e+00    6.03750177e-15     24.1        21.9  
 21        25       true    6.14490392e+00    4.38538095e-15     18.0        16.3  
 22        38       true    7.17505177e+00    3.77898667e-15     30.8        28.1  
 23        29       true    6.27782679e+00    4.88758339e-15     20.8        18.8  
 24        21       true    8.38016083e+00    3.40959899e-15     16.1        14.5  
 25        30       true    5.78275750e+00    4.36456427e-15     24.3        22.0  
 26        23       true    5.57914384e+00    6.52256027e-15     18.1        16.4  
 27        29       true    6.02939005e+00    6.10622664e-15     21.5        19.5  
 28        35       true    7.36298769e+00    2.88798848e-15     23.7        21.4  
 29        30       true    6.93666879e+00    4.60742555e-15     22.7        20.5  
 30        29       true    6.39394818e+00    3.53883589e-15     23.2        21.1  
 31        31       true    5.85879250e+00    5.38956900e-15     23.3        21.1  
 32        31       true    5.87542017e+00    5.68989300e-15     22.8        20.7  
 33        23       true    5.71492978e+00    4.80171458e-15     18.4        16.7  
 34        34       true    6.09892215e+00    3.01131732e-15     25.9        23.4  
 35        23       true    8.17231188e+00    4.27435864e-15     17.1        15.5  
 36        43       true    7.47685712e+00    2.69191645e-15     34.6        31.5  
 37        36       true    6.50690096e+00    3.86626495e-15     28.1        25.4  
 38        22       true    8.45895440e+00    2.09142599e-15     16.6        15.0  
 39        29       true    5.90698139e+00    3.96904731e-15     21.2        19.2  
 40        23       true    5.60289933e+00    5.86867794e-15     17.4        15.8  
 41        33       true    6.02867995e+00    4.17461204e-15     24.8        22.5  
 42        46       true    6.93972494e+00    3.49720253e-15     35.7        32.3  
 43        23       true    5.55305831e+00    4.49640325e-15     17.3        15.6  
 44        22       true    8.21580357e+00    6.35602682e-15     16.9        15.3  
 45        22       true    8.46095968e+00    5.27355937e-15     16.5        14.9  
 46        24       true    5.81356607e+00    3.05311332e-15     18.2        16.5  
 47        33       true    6.88750798e+00    5.09798977e-15     23.9        21.7  
 48        26       true    8.10668815e+00    1.68198788e-13     18.1        16.4  
 49        28       true    5.78851274e+00    5.17112937e-15     21.7        19.7  
 50        33       true    7.18523272e+00    3.25922015e-15     23.8        21.5  
