 seed  iterations  status     objective           primal        wall (ms)  solver (ms)  
  1       179       true    1.49743167e+00    4.34220285e-03     44.9         0.0
  2       213       true    1.21033626e+00    1.70333977e-03     52.3         0.0
  3       280       true    1.03780656e+00    4.76435783e-03     64.9         0.0
  4       261       true    1.04626367e+00    2.76007593e-03     61.5         0.0
  5       257       true    1.01036557e+00    4.97762706e-03     60.2         0.0
  6       190       true    1.78530167e+00    1.18715607e-03     48.0         0.0
  7       225       true    1.21301664e+00    1.88979992e-03     54.6         0.0
  8       183       true    1.79451481e+00    1.29520536e-03     45.4         0.0
  9       180       true    1.79681170e+00    2.60767414e-03     45.2         0.0
 10       185       true    1.70870580e+00    3.18961515e-03     45.8         0.0
 11       240       true    1.22853102e+00    3.68778023e-03     57.2         0.0
 12       251       true    9.91091868e-01    2.34718260e-03     60.1         0.0
 13       298       true    1.05574873e+00    3.90443517e-03     69.3         0.0
 14       189       true    1.51736204e+00    3.84963312e-03     46.4         0.0
 15       240       true    1.31422714e+00    3.54424603e-03     57.8         0.0
 16       252       true    1.23650868e+00    3.88660566e-03     60.1         0.0
 17       217       true    1.28016098e+00    3.46348606e-03     51.7         0.0
 18       282       true    1.02141588e+00    4.85981541e-03     64.5         0.0
 19       209       true    1.20481748e+00    3.97374841e-03     50.3         0.0
 20       218       true    1.14658698e+00    2.32592462e-03     53.1         0.0
 21       250       true    1.14627666e+00    4.32859254e-03     58.6         0.0
 22       188       true    1.45192672e+00    2.21697406e-03     46.2         0.0
 23       227       true    1.26816193e+00    3.08060762e-03     54.0         0.0
 24       185       true    1.75302303e+00    1.54757312e-03     45.4         0.0
 25       271       true    1.03542488e+00    4.68392943e-03     63.0         0.0
 26       275       true    9.49648959e-01    3.60892053e-03     63.1         0.0
 27       255       true    1.13624916e+00    4.12225554e-03     59.8         0.0
 28       182       true    1.53615823e+00    2.14857680e-03     44.7         0.0
 29       213       true    1.48685148e+00    2.93191872e-03     51.0         0.0
 30       251       true    1.30444514e+00    2.60994215e-03     59.7         0.0
 31       243       true    1.07766356e+00    1.74937342e-03     58.2         0.0
 32       233       true    1.02114605e+00    3.68158861e-03     55.0         0.0
 33       223       true    9.97093284e-01    2.17077794e-03     54.3         0.0
 34       220       true    1.12944850e+00    1.74034171e-03     53.2         0.0
 35       172       true    1.66344218e+00    1.85024115e-03     42.9         0.0
 36       192       true    1.65810356e+00    1.54925839e-03     47.1         0.0
 37       206       true    1.22936291e+00    1.23133670e-03     50.1         0.0
 38       182       true    1.78517184e+00    1.31240673e-03     44.8         0.0
 39       246       true    1.08396164e+00    1.19196420e-03     57.9         0.0
 40       265       true    9.68856438e-01    3.53163205e-03     61.6         0.0
 41       250       true    1.14174369e+00    1.77381959e-03     58.7         0.0
 42       201       true    1.41066343e+00    2.47745886e-03     48.5         0.0
 43       256       true    9.43826750e-01    4.43376320e-03     60.0         0.0
 44       182       true    1.65941812e+00    2.33559153e-03     45.0         0.0
 45       182       true    1.81766502e+00    2.36475910e-03     45.1         0.0
 46       299       true    1.06401193e+00    1.89970625e-03     70.5         0.0
 47       216       true    1.48416285e+00    3.35226069e-03     51.7         0.0
 48       182       true    1.64698073e+00    2.08181006e-03     45.0         0.0
 49       247       true    1.03213361e+00    3.76539375e-03     57.8         0.0
 50       196       true    1.59249902e+00    3.81990171e-03     47.4         0.0
